EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
90.4793,0,0,0
299.588,0,0,0
299.156,0,0,0
298.648,0,0,0
287.388,0,0,0
293.63,0,0,0
298.878,0,0,0
298.453,0,0,0
299.078,0,0,0
298.101,0,0,0
297.243,0,0,0
298.733,0,0,0
108.309,0,0,0
298.164,0,0,0
298.294,0,0,0
298.301,0,0,0
297.646,0,0,0
298.135,0,0,0
220.237,0,0,0
299.252,0,0,0
281.17,0,0,0
298.451,0,0,0
298.065,0,0,0
297.841,0,0,0
298.958,0,0,0
156.636,0,0,0
145.27,0,0,0
173.547,0,0,0
171.5,0,0,0
298.604,0,0,0
298.48,0,0,0
296.86,0,0,0
297.583,0,0,0
299.008,0,0,0
291.152,0,0,0
299.415,0,0,0
175.392,0,0,0
298.043,0,0,0
298.432,0,0,0
298.834,0,0,0
296.449,0,0,0
298.057,0,0,0
295.468,0,0,0
297.856,0,0,0
298.078,0,0,0
296.846,0,0,0
299.001,0,0,0
214.783,0,0,0
296.98,0,0,0
298.211,0,0,0
298.504,0,0,0
298.355,0,0,0
296.602,0,0,0
298.089,0,0,0
299.588,0,0,0
297.443,0,0,0
298.835,0,0,0
298.348,0,0,0
297.318,0,0,0
298.875,0,0,0
298.647,0,0,0
297.361,0,0,0
298.514,0,0,0
298.138,0,0,0
298.823,0,0,0
298.544,0,0,0
297.895,0,0,0
296.741,0,0,0
297.639,0,0,0
294.336,0,0,0
296.63,0,0,0
295.827,0,0,0
76.5615,0,0,0
295.826,0,0,0
298.929,0,0,0
240.386,0,0,0
261.08,0,0,0
11.929,0,0,0
298.191,0,0,0
122.812,0,0,0
298.357,0,0,0
198.22,0,0,0
296.273,0,0,0
192.346,0,0,0
298.608,0,0,0
298.69,0,0,0
297.77,0,0,0
296.009,0,0,0
218.362,0,0,0
260.883,0,0,0
298.535,0,0,0
297.719,0,0,0
298.733,0,0,0
152.209,0,0,0
296.475,0,0,0
299.454,0,0,0
298.624,0,0,0
126.198,0,0,0
296.813,0,0,0
197.993,0,0,0
299.236,0,0,0
297.388,0,0,0
298.091,0,0,0
297.304,0,0,0
297.473,0,0,0
298.044,0,0,0
297.99,0,0,0
297.57,0,0,0
298.976,0,0,0
88.5202,0,0,0
297.413,0,0,0
292.618,0,0,0
298.634,0,0,0
297.819,0,0,0
260.821,0,0,0
170.296,0,0,0
299.002,0,0,0
145.306,0,0,0
298.822,0,0,0
267.287,0,0,0
299.243,0,0,0
99.6762,0,0,0
296.796,0,0,0
298.981,0,0,0
294.845,0,0,0
297.102,0,0,0
297.801,0,0,0
298.73,0,0,0
292.913,0,0,0
298.763,0,0,0
297.553,0,0,0
298.869,0,0,0
30.8993,0,0,0
296.712,0,0,0
299.156,0,0,0
200.393,0,0,0
297.941,0,0,0
143.13,0,0,0
298.684,0,0,0
298.602,0,0,0
296.905,0,0,0
297.837,0,0,0
298.129,0,0,0
193.736,0,0,0
134.411,0,0,0
298.622,0,0,0
297.092,0,0,0
295.954,0,0,0
298.291,0,0,0
298.114,0,0,0
298.848,0,0,0
291.088,0,0,0
79.7137,0,0,0
298.047,0,0,0
192.393,0,0,0
298.997,0,0,0
152.752,0,0,0
298.458,0,0,0
297.024,0,0,0
298.989,0,0,0
298.747,0,0,0
298.759,0,0,0
298.335,0,0,0
280.517,0,0,0
154.763,0,0,0
299.266,0,0,0
286.076,0,0,0
297.234,0,0,0
298.938,0,0,0
297.086,0,0,0
297.655,0,0,0
41.4096,0,0,0
297.027,0,0,0
297.332,0,0,0
299.445,0,0,0
295.808,0,0,0
297.361,0,0,0
297.829,0,0,0
298.248,0,0,0
297.136,0,0,0
298.464,0,0,0
296.666,0,0,0
295.705,0,0,0
296.577,0,0,0
298.479,0,0,0
298.023,0,0,0
297.193,0,0,0
298.043,0,0,0
298.345,0,0,0
298.613,0,0,0
297.551,0,0,0
297.811,0,0,0
298.485,0,0,0
298.426,0,0,0
297.961,0,0,0
297.681,0,0,0
297.638,0,0,0
239.286,0,0,0
298.854,0,0,0
298.151,0,0,0
290.597,0,0,0
298.069,0,0,0
210.292,0,0,0
298.394,0,0,0
297.255,0,0,0
299.645,0,0,0
278.11,0,0,0
298.078,0,0,0
298.559,0,0,0
51.9368,0,0,0
298.804,0,0,0
298.293,0,0,0
297.979,0,0,0
297.077,0,0,0
14.4484,0,0,0
296.519,0,0,0
297.593,0,0,0
298.556,0,0,0
160.477,0,0,0
298.507,0,0,0
298.663,0,0,0
210.747,0,0,0
113.828,0,0,0
298.925,0,0,0
296.949,0,0,0
129.678,0,0,0
90.9423,0,0,0
189.35,0,0,0
298.288,0,0,0
295.848,0,0,0
298.87,0,0,0
293.899,0,0,0
177.112,0,0,0
298.534,0,0,0
298.777,0,0,0
298.783,0,0,0
298.662,0,0,0
294.604,0,0,0
298.426,0,0,0
129.27,0,0,0
47.7024,0,0,0
298.245,0,0,0
296.281,0,0,0
296.35,0,0,0
166.914,0,0,0
241.009,0,0,0
298.921,0,0,0
298.429,0,0,0
298.306,0,0,0
101.939,0,0,0
298.933,0,0,0
298.251,0,0,0
298.668,0,0,0
297.026,0,0,0
218.306,0,0,0
297.372,0,0,0
25.5455,0,0,0
135.753,0,0,0
297.826,0,0,0
104.626,0,0,0
141.068,0,0,0
298.541,0,0,0
298.163,0,0,0
297.601,0,0,0
296.616,0,0,0
200.609,0,0,0
294.918,0,0,0
296.47,0,0,0
298.521,0,0,0
221.914,0,0,0
215.903,0,0,0
230.332,0,0,0
298.13,0,0,0
112.782,0,0,0
297.491,0,0,0
298.16,0,0,0
298.225,0,0,0
298.748,0,0,0
296.808,0,0,0
298.476,0,0,0
298.168,0,0,0
298.874,0,0,0
233.859,0,0,0
299.095,0,0,0
296.951,0,0,0
273.858,0,0,0
291.618,0,0,0
298.932,0,0,0
197.707,0,0,0
298.561,0,0,0
298.342,0,0,0
298.435,0,0,0
297.935,0,0,0
133.935,0,0,0
298.232,0,0,0
87.3157,0,0,0
134.709,0,0,0
208.008,0,0,0
295.357,0,0,0
298.56,0,0,0
298.442,0,0,0
298.15,0,0,0
298.416,0,0,0
298.975,0,0,0
151.843,0,0,0
298.942,0,0,0
296.161,0,0,0
298.807,0,0,0
298.44,0,0,0
299.046,0,0,0
296.915,0,0,0
298.008,0,0,0
298.995,0,0,0
121.622,0,0,0
156.764,0,0,0
298.469,0,0,0
295.117,0,0,0
298.578,0,0,0
299.369,0,0,0
298.232,0,0,0
298.023,0,0,0
298.325,0,0,0
298.816,0,0,0
297.529,0,0,0
155.827,0,0,0
298.921,0,0,0
297.235,0,0,0
299.21,0,0,0
298.859,0,0,0
298.847,0,0,0
299.003,0,0,0
299.043,0,0,0
292.951,0,0,0
290.029,0,0,0
120.551,0,0,0
298.037,0,0,0
292.918,0,0,0
298.533,0,0,0
297.412,0,0,0
298.865,0,0,0
298.585,0,0,0
297.053,0,0,0
298.191,0,0,0
97.3914,0,0,0
299.239,0,0,0
298.715,0,0,0
298.131,0,0,0
294.996,0,0,0
118.217,0,0,0
298.512,0,0,0
298.368,0,0,0
185.491,0,0,0
179.427,0,0,0
297.565,0,0,0
281.275,0,0,0
147.359,0,0,0
291.762,0,0,0
298.495,0,0,0
298.17,0,0,0
196.404,0,0,0
185.543,0,0,0
297.656,0,0,0
298.651,0,0,0
298.125,0,0,0
296.989,0,0,0
297.217,0,0,0
299.063,0,0,0
184.346,0,0,0
299.044,0,0,0
297.843,0,0,0
299.031,0,0,0
296.557,0,0,0
297.365,0,0,0
297.841,0,0,0
298.675,0,0,0
297.045,0,0,0
297.435,0,0,0
83.8531,0,0,0
191.007,0,0,0
298.519,0,0,0
299.399,0,0,0
298.935,0,0,0
298.568,0,0,0
68.7029,0,0,0
298.299,0,0,0
236.654,0,0,0
297.817,0,0,0
298.54,0,0,0
298.319,0,0,0
297.556,0,0,0
299.108,0,0,0
266.65,0,0,0
297.467,0,0,0
208.524,0,0,0
297.059,0,0,0
149.069,0,0,0
297.613,0,0,0
298.852,0,0,0
192.536,0,0,0
216.956,0,0,0
297.136,0,0,0
297.721,0,0,0
298.221,0,0,0
298.215,0,0,0
146.359,0,0,0
202.366,0,0,0
184.714,0,0,0
298.59,0,0,0
224.901,0,0,0
128.262,0,0,0
297.365,0,0,0
296.604,0,0,0
297.73,0,0,0
297.235,0,0,0
296.897,0,0,0
298.175,0,0,0
297.78,0,0,0
298.423,0,0,0
297.377,0,0,0
298.064,0,0,0
298.438,0,0,0
143.331,0,0,0
222.901,0,0,0
298.44,0,0,0
210.168,0,0,0
293.327,0,0,0
156.238,0,0,0
297.951,0,0,0
298.975,0,0,0
298.891,0,0,0
299.15,0,0,0
298.824,0,0,0
296.908,0,0,0
298.884,0,0,0
168.174,0,0,0
296.049,0,0,0
296.271,0,0,0
299.047,0,0,0
296.812,0,0,0
67.8543,0,0,0
136.533,0,0,0
294.942,0,0,0
298.776,0,0,0
296.731,0,0,0
297.307,0,0,0
162.021,0,0,0
297.936,0,0,0
81.5366,0,0,0
298.49,0,0,0
297.609,0,0,0
298.992,0,0,0
297.946,0,0,0
298.158,0,0,0
174.223,0,0,0
294.847,0,0,0
298.7,0,0,0
297.682,0,0,0
299.376,0,0,0
297.942,0,0,0
297.766,0,0,0
298.665,0,0,0
298.812,0,0,0
211.157,0,0,0
298.148,0,0,0
66.8864,0,0,0
289.512,0,0,0
159.543,0,0,0
296.785,0,0,0
296.832,0,0,0
293.713,0,0,0
231.315,0,0,0
168.11,0,0,0
179.588,0,0,0
298.134,0,0,0
297.592,0,0,0
91.068,0,0,0
293.232,0,0,0
299.357,0,0,0
298.464,0,0,0
295.674,0,0,0
298.013,0,0,0
26.0679,0,0,0
298.448,0,0,0
296.434,0,0,0
296.832,0,0,0
297.708,0,0,0
297.821,0,0,0
97.6887,0,0,0
298.131,0,0,0
293.213,0,0,0
298.598,0,0,0
131.13,0,0,0
298.104,0,0,0
298.468,0,0,0
297.049,0,0,0
297.127,0,0,0
297.414,0,0,0
297.988,0,0,0
298.547,0,0,0
199.787,0,0,0
160.152,0,0,0
298.794,0,0,0
297.189,0,0,0
298.071,0,0,0
217.118,0,0,0
298.74,0,0,0
299.149,0,0,0
296.456,0,0,0
298.268,0,0,0
278.046,0,0,0
298.654,0,0,0
298.67,0,0,0
297.414,0,0,0
298.922,0,0,0
205.735,0,0,0
180.391,0,0,0
298.527,0,0,0
297.586,0,0,0
298.54,0,0,0
146.225,0,0,0
297.883,0,0,0
298.068,0,0,0
240.749,0,0,0
296.353,0,0,0
299.437,0,0,0
298.696,0,0,0
107.812,0,0,0
232.117,0,0,0
297.759,0,0,0
298.374,0,0,0
166.602,0,0,0
297.941,0,0,0
297.799,0,0,0
297.659,0,0,0
81.2869,0,0,0
168.533,0,0,0
84.5413,0,0,0
298.816,0,0,0
165.006,0,0,0
298.779,0,0,0
298.183,0,0,0
299.071,0,0,0
298.546,0,0,0
132.507,0,0,0
186.352,0,0,0
298.337,0,0,0
144.693,0,0,0
242.172,0,0,0
67.474,0,0,0
298.314,0,0,0
299.102,0,0,0
218.962,0,0,0
183.798,0,0,0
183.889,0,0,0
298.466,0,0,0
171.247,0,0,0
299.118,0,0,0
299.045,0,0,0
163.689,0,0,0
157.295,0,0,0
297.537,0,0,0
299.005,0,0,0
298.175,0,0,0
298.502,0,0,0
298.008,0,0,0
295.518,0,0,0
295.362,0,0,0
296.77,0,0,0
298.122,0,0,0
168.136,0,0,0
297.404,0,0,0
299.534,0,0,0
272.908,0,0,0
286.322,0,0,0
180.636,0,0,0
