EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
93.1888,0,0,0
88.3537,0,0,0
102.761,0,0,0
97.7444,0,0,0
178.421,0,0,0
95.6575,0,0,0
202.443,0,0,0
107.832,0,0,0
85.417,0,0,0
77.3211,0,0,0
115.456,0,0,0
108.571,0,0,0
241.274,0,0,0
92.8668,0,0,0
95.2619,0,0,0
81.6373,0,0,0
86.8478,0,0,0
77.5632,0,0,0
101.358,0,0,0
77.0915,0,0,0
80.7223,0,0,0
129.056,0,0,0
87.8409,0,0,0
97.8789,0,0,0
92.7387,0,0,0
121.158,0,0,0
91.8202,0,0,0
87.0751,0,0,0
145.882,0,0,0
151.377,0,0,0
91.9474,0,0,0
85.2386,0,0,0
114.905,0,0,0
86.4375,0,0,0
78.4267,0,0,0
66.5788,0,0,0
90.9902,0,0,0
71.6853,0,0,0
77.3348,0,0,0
85.0982,0,0,0
71.616,0,0,0
110.403,0,0,0
189.302,0,0,0
186.789,0,0,0
99.2505,0,0,0
80.0046,0,0,0
108.58,0,0,0
77.5789,0,0,0
101.065,0,0,0
88.7379,0,0,0
101.95,0,0,0
66.3584,0,0,0
101.343,0,0,0
102.73,0,0,0
93.68,0,0,0
76.3556,0,0,0
79.9301,0,0,0
92.0722,0,0,0
81.2308,0,0,0
117.197,0,0,0
91.405,0,0,0
92.3049,0,0,0
232.622,0,0,0
114.824,0,0,0
91.4299,0,0,0
86.6036,0,0,0
90.3089,0,0,0
86.614,0,0,0
100.733,0,0,0
79.3517,0,0,0
80.2453,0,0,0
97.3867,0,0,0
78.5409,0,0,0
180.096,0,0,0
84.1777,0,0,0
122.565,0,0,0
173.418,0,0,0
96.672,0,0,0
180.973,0,0,0
66.3293,0,0,0
73.7017,0,0,0
118.498,0,0,0
86.7382,0,0,0
62.8952,0,0,0
77.7508,0,0,0
94.3856,0,0,0
85.9785,0,0,0
64.0698,0,0,0
87.3649,0,0,0
74.095,0,0,0
114.179,0,0,0
86.9167,0,0,0
100.396,0,0,0
156.528,0,0,0
65.0373,0,0,0
95.7214,0,0,0
84.0093,0,0,0
79.4561,0,0,0
101.107,0,0,0
98.4265,0,0,0
277.601,0,0,0
92.3075,0,0,0
91.0829,0,0,0
83.2474,0,0,0
109.236,0,0,0
116.984,0,0,0
74.355,0,0,0
109.755,0,0,0
70.9002,0,0,0
86.0811,0,0,0
80.5615,0,0,0
88.5329,0,0,0
237.348,0,0,0
61.9743,0,0,0
87.2224,0,0,0
97.07,0,0,0
83.0874,0,0,0
155.988,0,0,0
84.9209,0,0,0
89.3134,0,0,0
61.393,0,0,0
100.485,0,0,0
187.264,0,0,0
117.132,0,0,0
94.6205,0,0,0
97.1252,0,0,0
82.1343,0,0,0
77.0061,0,0,0
75.7303,0,0,0
87.2054,0,0,0
164.835,0,0,0
103.823,0,0,0
86.2891,0,0,0
67.8125,0,0,0
66.4225,0,0,0
110.837,0,0,0
123.328,0,0,0
87.261,0,0,0
113.894,0,0,0
131.777,0,0,0
97.6113,0,0,0
87.8932,0,0,0
98.8425,0,0,0
75.3114,0,0,0
67.723,0,0,0
95.5958,0,0,0
