EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
9.25591,0,0,0
2.88937,0,0,0
11.0146,0,0,0
60,0,0,0
60,0,0,0
8.61424,0,0,0
11.2404,0,0,0
60,0,0,0
60,0,0,0
0.433205,0,0,0
0.937596,0,0,0
60,0,0,0
60,0,0,0
2.8081,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.9821,0,0,0
60,0,0,0
6.87797,0,0,0
11.4055,0,0,0
9.91504,0,0,0
11.3917,0,0,0
2.99978,0,0,0
9.98006,0,0,0
0.360384,0,0,0
1.86751,0,0,0
10.2873,0,0,0
9.53781,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.14195,0,0,0
60,0,0,0
7.11956,0,0,0
60,0,0,0
0.109238,0,0,0
60,0,0,0
60,0,0,0
7.58458,0,0,0
4.35043,0,0,0
2.95798,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.24156,0,0,0
60,0,0,0
3.66182,0,0,0
60,0,0,0
60,0,0,0
0.701372,0,0,0
60,0,0,0
7.59537,0,0,0
60,0,0,0
3.71756,0,0,0
3.36116,0,0,0
9.37307,0,0,0
1.0657,0,0,0
7.81086,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.60143,0,0,0
8.4101,0,0,0
60,0,0,0
60,0,0,0
11.0207,0,0,0
60,0,0,0
60,0,0,0
2.32762,0,0,0
60,0,0,0
7.93884,0,0,0
21.7128,0,0,0
60,0,0,0
1.75514,0,0,0
4.62169,0,0,0
4.54878,0,0,0
1.87058,0,0,0
60,0,0,0
5.19053,0,0,0
60,0,0,0
8.89736,0,0,0
60,0,0,0
1.08944,0,0,0
0.44896,0,0,0
8.66563,0,0,0
60,0,0,0
3.97467,0,0,0
2.28634,0,0,0
7.80672,0,0,0
7.58033,0,0,0
60,0,0,0
6.34326,0,0,0
60,0,0,0
8.20354,0,0,0
3.86273,0,0,0
1.19875,0,0,0
60,0,0,0
