EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
297.341,0,0,0
297.017,0,0,0
298.416,0,0,0
297.217,0,0,0
90.5222,0,0,0
297.805,0,0,0
224.356,0,0,0
299.076,0,0,0
161.445,0,0,0
297.825,0,0,0
299.31,0,0,0
292.336,0,0,0
297.236,0,0,0
297.764,0,0,0
297.866,0,0,0
297.348,0,0,0
179.558,0,0,0
299.121,0,0,0
124.397,0,0,0
298.428,0,0,0
115.634,0,0,0
298.967,0,0,0
297.842,0,0,0
297.767,0,0,0
296.325,0,0,0
298.511,0,0,0
296.783,0,0,0
226.367,0,0,0
296.4,0,0,0
298.673,0,0,0
297.024,0,0,0
298.532,0,0,0
295.65,0,0,0
228.493,0,0,0
298.168,0,0,0
296.488,0,0,0
41.8709,0,0,0
297.075,0,0,0
298.404,0,0,0
296.897,0,0,0
298.704,0,0,0
299.009,0,0,0
298.861,0,0,0
298.918,0,0,0
297.695,0,0,0
191.642,0,0,0
298.621,0,0,0
297.9,0,0,0
295.378,0,0,0
251.342,0,0,0
43.4246,0,0,0
291.683,0,0,0
296.743,0,0,0
297.883,0,0,0
298.947,0,0,0
297.574,0,0,0
213.755,0,0,0
299.14,0,0,0
295.56,0,0,0
296.319,0,0,0
298.164,0,0,0
297.539,0,0,0
199.78,0,0,0
297.99,0,0,0
297.933,0,0,0
298.282,0,0,0
296.881,0,0,0
298.541,0,0,0
193.68,0,0,0
298.823,0,0,0
298.644,0,0,0
101.721,0,0,0
299.263,0,0,0
296.629,0,0,0
297.869,0,0,0
297.364,0,0,0
296.048,0,0,0
292.924,0,0,0
298.362,0,0,0
296.472,0,0,0
298.57,0,0,0
297.689,0,0,0
179.32,0,0,0
298.419,0,0,0
297.551,0,0,0
297.772,0,0,0
297.967,0,0,0
299.032,0,0,0
298.981,0,0,0
299.243,0,0,0
298.543,0,0,0
299.077,0,0,0
297.059,0,0,0
295.603,0,0,0
298.494,0,0,0
123.413,0,0,0
295.824,0,0,0
153.136,0,0,0
298.989,0,0,0
298.71,0,0,0
