EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
91.4517,0,0,0
136.092,0,0,0
91.7274,0,0,0
83.5375,0,0,0
78.5077,0,0,0
88.8317,0,0,0
113.141,0,0,0
96.6175,0,0,0
126.41,0,0,0
65.941,0,0,0
67.6266,0,0,0
94.0011,0,0,0
107.137,0,0,0
107.493,0,0,0
75.7061,0,0,0
133.854,0,0,0
83.9297,0,0,0
94.0358,0,0,0
84.1974,0,0,0
65.3642,0,0,0
96.495,0,0,0
67.9929,0,0,0
97.6171,0,0,0
82.3846,0,0,0
129.963,0,0,0
69.029,0,0,0
87.2622,0,0,0
103.855,0,0,0
121.72,0,0,0
78.9781,0,0,0
102.014,0,0,0
106.324,0,0,0
105.396,0,0,0
77.9656,0,0,0
137.171,0,0,0
81.1861,0,0,0
92.7522,0,0,0
165.427,0,0,0
65.7939,0,0,0
82.8135,0,0,0
82.3799,0,0,0
115.157,0,0,0
80.9541,0,0,0
130.931,0,0,0
81.8998,0,0,0
448.399,0,0,0
85.6044,0,0,0
78.4332,0,0,0
88.4542,0,0,0
93.8019,0,0,0
169.818,0,0,0
110.564,0,0,0
94.4796,0,0,0
103.487,0,0,0
92.0816,0,0,0
90.6949,0,0,0
107.354,0,0,0
77.8336,0,0,0
115.458,0,0,0
80.5964,0,0,0
81.1873,0,0,0
107.162,0,0,0
88.2517,0,0,0
75.8085,0,0,0
110.724,0,0,0
76.8076,0,0,0
272.621,0,0,0
131.886,0,0,0
64.8238,0,0,0
75.4958,0,0,0
112.088,0,0,0
138.32,0,0,0
107.091,0,0,0
132.657,0,0,0
83.0603,0,0,0
92.8903,0,0,0
87.8784,0,0,0
81.9808,0,0,0
81.8085,0,0,0
67.5355,0,0,0
92.0791,0,0,0
89.1874,0,0,0
180.938,0,0,0
72.7793,0,0,0
112.227,0,0,0
115.34,0,0,0
78.1303,0,0,0
100.392,0,0,0
85.6658,0,0,0
78.7256,0,0,0
90.0622,0,0,0
122.201,0,0,0
86.1791,0,0,0
176.745,0,0,0
124.655,0,0,0
87.245,0,0,0
82.9354,0,0,0
86.1642,0,0,0
80.5485,0,0,0
84.6649,0,0,0
